id,digit,anio,mes,fecha,municipio,zona,calles,inmueble,oferta,sup lote,sup constr,dormitorios,banios,garaje,nueva,costo total,repetidos,especiales,observaciones,s_mun,s_ofer,s_inm,s_dorm,s_ban,s_neo,s_lot,s_const,S_PRECIO,SL,SC,PRECIO,PLOTE,PCONST,PCOMT,PLTMT,base
1,rld,2012,10,7,Cochabamba,norte,urb vaticano,Casa en Urb.,Dueño,,,4,3,1,0,160000,,1,,cb,dueno,casurb,4,3+,ne,ne,ne,130-194,0,0,1,0,0,,,1.00
2,rld,2012,10,7,Cochabamba,norte,urb el bosque I,Casa en Urb.,Dueño,1000,,3,2,0,0,458000,,1,,cb,dueno,casurb,3,1-2,ne,697-max,ne,194+,1,0,1,1,0,,,1.00
3,rld,2012,10,7,Cochabamba,sud,sud barrio nueva sta vera cruz calle vandiola,Casa,Dueño,,,,,,1,55000,,1,,cb,dueno,cas,NE,ne,nueva,ne,ne,11-82,0,0,1,0,0,,,1.00
5,rld,2012,10,7,Cochabamba,este,barrio san pedro,Casa,Dueño,311,264,4,,,0,290000,,1,,cb,dueno,cas,4,ne,ne,301-430,169-272,194+,1,1,1,1,1,1098.484848,1098.484848,1.00
6,rld,2012,10,7,Cochabamba,norte,av. circunvalacion y pando,Casa,Dueño,430,,5,,1,0,345000,,1,,cb,dueno,cas,5+,ne,ne,301-430,ne,194+,1,0,1,1,0,,,1.00
7,rld,2012,10,7,Cochabamba,centro,prado,Casa,Inmobiliaria,,,,,,0,520000,,1,,cb,otro,cas,NE,ne,ne,ne,ne,194+,0,0,1,0,0,,,1.00
8,rld,2012,10,7,Cochabamba,sarcobamba,urb. cerrada,Casa en Urb.,Inmobiliaria,,,,,,0,140000,,1,desglose del registro 7,cb,otro,casurb,NE,ne,ne,ne,ne,130-194,0,0,1,0,0,,,1.00
9,rld,2012,10,7,Tiquipaya,tiquipaya,colegio tiquipaya,Casa,Inmobiliaria,,,,,,0,170000,,1,desglose del registro 7,tiq,otro,cas,NE,ne,ne,ne,ne,130-194,0,0,1,0,0,,,1.00
10,rld,2012,10,7,Cochabamba,sudeste,calle moxos,Casa,Dueño,325,,,,,0,,,1,,cb,dueno,cas,NE,ne,ne,301-430,ne,ne,1,0,0,0,0,,,1.00
11,rld,2012,10,7,Cochabamba,norte,av america y melchor perez,Casa,Dueño,,,5,,,0,320000,,1,,cb,dueno,cas,5+,ne,ne,ne,ne,194+,0,0,1,0,0,,,1.00
12,rld,2012,10,7,Cochabamba,norte,urb vaticano,Casa en Urb.,Dueño,,,3,,,0,155000,,1,,cb,dueno,casurb,3,ne,ne,ne,ne,130-194,0,0,1,0,0,,,1.00
13,rld,2012,10,7,Cochabamba,norte,al este de plazuela,Casa,Dueño,,,,,,2,,,1,parte pago casa pequeña o dpto,cb,dueno,cas,NE,ne,no-nueva,ne,ne,ne,0,0,0,0,0,,,1.00
14,rld,2012,10,7,Cochabamba,chiquicollo,final america oeste,Casa,Dueño,,,4,3,1,1,195000,,1,,cb,dueno,cas,4,3+,nueva,ne,ne,194+,0,0,1,0,0,,,1.00
16,rld,2012,10,7,Cochabamba,,parque excombatientes,Casa,Dueño,1000,,,,,2,,,1,,cb,dueno,cas,NE,ne,no-nueva,697-max,ne,ne,1,0,0,0,0,,,1.00
17,rld,2012,10,7,Sacaba,,las delicias,Casa,Dueño,,,,,,2,,,1,,sac,dueno,cas,NE,ne,no-nueva,ne,ne,ne,0,0,0,0,0,,,1.00
18,rld,2012,10,7,Cochabamba,norte,av atahuallpa,Casa,Inmobiliaria,,240,4,,,0,162000,,1,,cb,otro,cas,4,ne,ne,ne,169-272,130-194,0,1,1,0,1,675,,1.00
19,rld,2012,10,7,Cochabamba,norte,av simon lopez,Casa,Dueño,,360,4,,,0,188000,,1,desglose del registro 16,cb,dueno,cas,4,ne,ne,ne,273+,130-194,0,1,1,0,1,522.2222222,,1.00
20,rld,2012,10,7,Quillacollo,quillacollo,km10 blanco galindo,Casa,Dueño,1000,500,7,,,0,,,1,,qllo,dueno,cas,5+,ne,ne,697-max,273+,ne,1,1,0,0,0,,,1.00
21,rld,2012,10,7,Cochabamba,sud,barrientos y 6 de agosto,Casa,Dueño,670,,,,,0,690000,,1,,cb,dueno,cas,NE,ne,ne,431-696,ne,194+,1,0,1,1,0,,,1.00
22,rld,2012,10,7,Cochabamba,norte,urb el bosque I,Casa en Urb.,Inmobiliaria,1000,,5,4,1,0,,,1,,cb,otro,casurb,5+,3+,ne,697-max,ne,ne,1,0,0,0,0,,,1.00
23,rld,2012,10,7,Tiquipaya,tiquipaya,urb tiquipaya,Casa en Urb.,NE,,,4,3,1,1,,,1,,tiq,otro,casurb,4,3+,nueva,ne,ne,ne,0,0,0,0,0,,,1.00
24,rld,2012,10,7,Cochabamba,oeste,av america cerca col. Attie,Casa,Dueño,350,290,4,,1,1,185000,,1,,cb,dueno,cas,4,ne,nueva,301-430,273+,130-194,1,1,1,1,1,637.9310345,637.9310345,1.00
25,rld,2012,10,7,Cochabamba,noroeste,av circunvalacion,Casa,Dueño,,,3,2,1,1,99000,,1,,cb,dueno,cas,3,1-2,nueva,ne,ne,82-130,0,0,1,0,0,,,1.00
26,rld,2012,10,7,Cochabamba,noreste,tupuraya cerca u. catolica,Casa,Dueño,,,,,,0,145000,,1,condominio,cb,dueno,cas,NE,ne,ne,ne,ne,130-194,0,0,1,0,0,,,1.00
27,rld,2012,10,7,Cochabamba,norte,alto aranjuez calle las palmeras esq el morro,Casa,Dueño,445,253,4,6,1,0,240000,,1,,cb,dueno,cas,4,3+,ne,431-696,169-272,194+,1,1,1,1,1,948.6166008,948.6166008,1.00
28,rld,2012,10,7,Cochabamba,noroeste,av beijing y america,Casa,Dueño,781,400,,,,0,,,1,tiendas comerciales,cb,dueno,cas,NE,ne,ne,697-max,273+,ne,1,1,0,0,0,,,1.00
29,rld,2012,10,7,Cochabamba,,av peru dorbigni,Casa,Dueño,,,,,,0,,,0,,cb,dueno,cas,NE,ne,ne,ne,ne,ne,0,0,0,0,0,,,1.00
30,rld,2012,10,7,Cochabamba,chiquicollo,linde,Casa,Dueño,,,,,,1,97000,,0,,cb,dueno,cas,NE,ne,nueva,ne,ne,82-130,0,0,1,0,0,,,1.00
31,rld,2012,10,7,Cochabamba,,,Casa,Dueño,,,3,4,1,0,,,0,,cb,dueno,cas,3,3+,ne,ne,ne,ne,0,0,0,0,0,,,1.00
32,rld,2012,10,7,Quillacollo,quillacollo,centro calle blanco y g pacheco,Casa,Dueño,427,,,,1,0,,,0,restaurante residencial,qllo,dueno,cas,NE,ne,ne,301-430,ne,ne,1,0,0,0,0,,,1.00
33,rld,2012,10,7,Sacaba,sacaba,centro av monseñor alcocer,Casa,Dueño,,,,,,0,,,0,,sac,dueno,cas,NE,ne,ne,ne,ne,ne,0,0,0,0,0,,,1.00
35,rld,2012,10,7,Cochabamba,norte,alto queru queru,Casa,Dueño,,,3,2,,0,180000,,0,c dpto auxiliar,cb,dueno,cas,3,1-2,ne,ne,ne,130-194,0,0,1,0,0,,,1.00
36,rld,2012,10,7,Colcapirhua,colcapirhua,km6 qllo santa rosa,Casa,Dueño,,,,,,0,,,0,,colc,dueno,cas,NE,ne,ne,ne,ne,ne,0,0,0,0,0,,,1.00
37,rld,2012,10,7,Cochabamba,sudoeste,km5cap victor ustaris,Casa,Dueño,,,,,,0,,,0,,cb,dueno,cas,NE,ne,ne,ne,ne,ne,0,0,0,0,0,,,1.00
38,rld,2012,10,7,Cochabamba,norte,av juan de la rosa,Casa,Dueño,618,,,,,2,,,0,casa como lote,cb,dueno,cas,NE,ne,no-nueva,431-696,ne,ne,1,0,0,0,0,,,1.00
39,rld,2012,10,7,Cochabamba,sud,km9 petrolera,Casa,Dueño,,,,,,0,,,0,,cb,dueno,cas,NE,ne,ne,ne,ne,ne,0,0,0,0,0,,,1.00
40,rld,2012,10,7,Cochabamba,norte,alto aranjuez,Casa,Dueño,,,,,,1,,,0,,cb,dueno,cas,NE,ne,nueva,ne,ne,ne,0,0,0,0,0,,,1.00
41,rld,2012,10,7,Cochabamba,sacaba,urb bella vista,Casa en Urb.,Dueño,638,400,5,3,1,0,229000,,0,,cb,dueno,casurb,5+,3+,ne,431-696,273+,194+,1,1,1,1,1,572.5,572.5,1.00
42,rld,2012,10,7,Cochabamba,sudoeste,hipodromo,Casa,Dueño,,,4,3,,0,143000,,0,,cb,dueno,cas,4,3+,ne,ne,ne,130-194,0,0,1,0,0,,,1.00
43,rld,2012,10,7,Cochabamba,noroeste,av tadeo haenken y peru,Casa,Dueño,240,,3,,,0,157000,,0,,cb,dueno,cas,3,ne,ne,144-300,ne,130-194,1,0,1,1,0,,,1.00
44,rld,2012,10,7,Cochabamba,norte,parque lincoln,Casa,Dueño,400,,,,1,0,235000,,0,,cb,dueno,cas,NE,ne,ne,301-430,ne,194+,1,0,1,1,0,,,1.00
45,rld,2012,10,7,Cochabamba,noroeste,prolongación melchor perez,Casa,Otros,,,4,,1,0,,,0,,cb,otro,cas,4,ne,ne,ne,ne,ne,0,0,0,0,0,,,1.00
46,rld,2012,10,7,Cochabamba,oeste,av america final oeste,Casa,Constructora,200,,4,,,1,,,0,preventa-condominio,cb,otro,cas,4,ne,nueva,144-300,ne,ne,1,0,0,0,0,,,1.00
47,rld,2012,10,7,Tiquipaya,tiquipaya,av principal,Casa,Dueño,3150,,,,,0,,,0,,tiq,dueno,cas,NE,ne,ne,697-max,ne,ne,1,0,0,0,0,,,1.00
48,rld,2012,10,7,Cochabamba,seminario,cerca av dorbigni,Casa,Dueño,318,,,,,2,,,0,,cb,dueno,cas,NE,ne,no-nueva,301-430,ne,ne,1,0,0,0,0,,,1.00
49,rld,2012,10,7,Cochabamba,norte,av circunvalacion cerca anglo americano,Casa,Dueño,,,,,,0,,,0,,cb,dueno,cas,NE,ne,ne,ne,ne,ne,0,0,0,0,0,,,1.00
50,rld,2012,10,7,Tiquipaya,tiquipaya,trojes,Casa,Dueño,,,,,,0,285000,,0,,tiq,dueno,cas,NE,ne,ne,ne,ne,194+,0,0,1,0,0,,,1.00
51,rld,2012,10,7,Cochabamba,noreste,alto aranjuez,Casa,Dueño,,,,,,0,180000,,0,,cb,dueno,cas,NE,ne,ne,ne,ne,130-194,0,0,1,0,0,,,1.00
52,rld,2012,10,7,Cochabamba,tamborada,barrio magisterio-las delicias,Casa,Dueño,,,,,,0,,,0,,cb,dueno,cas,NE,ne,ne,ne,ne,ne,0,0,0,0,0,,,1.00
53,rld,2012,10,7,Cochabamba,,,Casa,Dueño,,,,,,0,,,0,,cb,dueno,cas,NE,ne,ne,ne,ne,ne,0,0,0,0,0,,,1.00
54,rld,2012,10,7,Cochabamba,noreste,tupuyara,Casa,Dueño,1095,,4,,,0,,,0,,cb,dueno,cas,4,ne,ne,697-max,ne,ne,1,0,0,0,0,,,1.00
55,rld,2012,10,7,Sacaba,sacaba,pacata baja,Casa,Dueño,,,3,,,0,108000,,0,,sac,dueno,cas,3,ne,ne,ne,ne,82-130,0,0,1,0,0,,,1.00
56,rld,2012,10,7,Colcapirhua,colcapirhua,av circunvalacion cerca universidad adventista,Casa,Dueño,467,,,,,0,120000,,0,,colc,dueno,cas,NE,ne,ne,431-696,ne,82-130,1,0,1,1,0,,,1.00
57,rld,2012,10,7,Cochabamba,norte,av simon lopez,Casa,Dueño,,,,,1,0,,,0,,cb,dueno,cas,NE,ne,ne,ne,ne,ne,0,0,0,0,0,,,1.00
58,rld,2012,10,7,Sacaba,muyurina,av ruben dario y jc torrez,Casa,Dueño,,,3,3,1,0,,,0,,sac,dueno,cas,3,3+,ne,ne,ne,ne,0,0,0,0,0,,,1.00
59,rld,2012,10,7,Colcapirhua,colcapirhua,km8 av capitan ustaris,Casa,Dueño,426,,6,,,0,,,0,,colc,dueno,cas,5+,ne,ne,301-430,ne,ne,1,0,0,0,0,,,1.00
60,rld,2012,10,7,Sacaba,sacaba,cerca mercado papa,Casa,Inmobiliaria,,,,,,0,,,0,,sac,otro,cas,NE,ne,ne,ne,ne,ne,0,0,0,0,0,,,1.00
61,rld,2012,10,7,Cochabamba,noroeste,tadeo haenke y villavicencio,Casa,Dueño,,,,,,0,,,0,,cb,dueno,cas,NE,ne,ne,ne,ne,ne,0,0,0,0,0,,,1.00
62,rld,2012,10,7,Colcapirhua,santa rosa,6.5 kmcapitan ustaris,Casa,Dueño,,,3,,,0,99000,,0,,colc,dueno,cas,3,ne,ne,ne,ne,82-130,0,0,1,0,0,,,1.00
63,rld,2012,10,7,Cochabamba,sud,jahuayco y villar1933,Casa,Dueño,,,,,,0,,,0,,cb,dueno,cas,NE,ne,ne,ne,ne,ne,0,0,0,0,0,,,1.00
65,rld,2012,10,7,Cochabamba,norte,av america oeste y simon lopez,Casa,Dueño,,,,,,0,270000,,0,,cb,dueno,cas,NE,ne,ne,ne,ne,194+,0,0,1,0,0,,,1.00
67,rld,2012,10,7,Cochabamba,,,Casa,Dueño,,,4,,1,1,,,0,acepta financiamiento,cb,dueno,cas,4,ne,nueva,ne,ne,ne,0,0,0,0,0,,,1.00
68,rld,2012,10,7,Cochabamba,norte,,Casa,Dueño,,,,,,0,,,0,,cb,dueno,cas,NE,ne,ne,ne,ne,ne,0,0,0,0,0,,,1.00
69,rld,2012,10,7,Cochabamba,norte,av ramon rivero,Casa,Dueño,,,,,,0,,,0,,cb,dueno,cas,NE,ne,ne,ne,ne,ne,0,0,0,0,0,,,1.00
70,rld,2012,10,7,Sacaba,sacaba,av circunvalacion,Casa,Dueño,,,3,,,0,82000,,0,,sac,dueno,cas,3,ne,ne,ne,ne,11-82,0,0,1,0,0,,,1.00
71,rld,2012,10,7,Sacaba,sacaba,km 4.5 circunvalacion,Casa,Dueño,,,3,1,,1,69000,,0,,sac,dueno,cas,3,1-2,nueva,ne,ne,11-82,0,0,1,0,0,,,1.00
72,rld,2012,10,7,Cochabamba,hipodromo,dorbigni oeste,Casa,Dueño,,,3,,1,0,105000,,0,,cb,dueno,cas,3,ne,ne,ne,ne,82-130,0,0,1,0,0,,,1.00
73,rld,2012,10,7,Sacaba,sacaba,km 5 condominio,Casa en Urb.,Dueño,,,3,,1,0,110000,,0,,sac,dueno,casurb,3,ne,ne,ne,ne,82-130,0,0,1,0,0,,,1.00
74,rld,2012,10,7,Sacaba,sacaba,pacata alta calle 4,Casa,Dueño,,,8,,,0,180000,,0,,sac,dueno,cas,5+,ne,ne,ne,ne,130-194,0,0,1,0,0,,,1.00
75,rld,2012,10,7,Cochabamba,condebamba,urb halleim,Casa en Urb.,Dueño,,,,,,0,,,0,,cb,dueno,casurb,NE,ne,ne,ne,ne,ne,0,0,0,0,0,,,1.00
76,rld,2012,10,7,Cochabamba,noreste,alto aranjuez,Casa,Dueño,,,4,,,0,,,0,,cb,dueno,cas,4,ne,ne,ne,ne,ne,0,0,0,0,0,,,1.00
77,rld,2012,10,7,Colcapirhua,colcapirhua,km 8 cap ustariz,Casa,Dueño,,,,,,0,125000,,0,,colc,dueno,cas,NE,ne,ne,ne,ne,82-130,0,0,1,0,0,,,1.00
78,rld,2012,10,7,Tiquipaya,tiquipaya,av reducto,Casa,Dueño,350,,,,,0,,,0,,tiq,dueno,cas,NE,ne,ne,301-430,ne,ne,1,0,0,0,0,,,1.00
79,rld,2012,10,7,Cochabamba,sarco,,Casa,Dueño,300,,6,,,0,95000,,0,,cb,dueno,cas,5+,ne,ne,144-300,ne,82-130,1,0,1,1,0,,,1.00
80,rld,2012,10,7,Cochabamba,norte,av simon lopez y colquiri,Casa,Dueño,500,,,,,0,27000,,0,,cb,dueno,cas,NE,ne,ne,431-696,ne,11-82,1,0,1,1,0,,,1.00
81,rld,2012,10,7,Sacaba,sacaba,pacata alta,Casa,Dueño,,,,,,0,,,0,,sac,dueno,cas,NE,ne,ne,ne,ne,ne,0,0,0,0,0,,,1.00
82,rld,2012,10,7,Cochabamba,sudeste,alalay calle guapuru,Casa,Dueño,291,182,,,1,0,,,0,,cb,dueno,cas,NE,ne,ne,144-300,169-272,ne,1,1,0,0,0,,,1.00
83,rld,2012,10,7,Cochabamba,oeste,av america oeste,Casa,Dueño,,,5,,1,0,715000,,0,,cb,dueno,cas,5+,ne,ne,ne,ne,194+,0,0,1,0,0,,,1.00
84,rld,2012,10,7,Cochabamba,oeste,av america oeste,Casa,Inmobiliaria,,,4,4,,0,198000,,0,,cb,otro,cas,4,3+,ne,ne,ne,194+,0,0,1,0,0,,,1.00
85,rld,2012,10,7,Cochabamba,noroeste,alto aranjuez,Casa,Dueño,,,4,,,0,142000,,0,,cb,dueno,cas,4,ne,ne,ne,ne,130-194,0,0,1,0,0,,,1.00
86,rld,2012,10,7,Cochabamba,queru queru,,Casa,Dueño,,,5,,,0,189000,,0,,cb,dueno,cas,5+,ne,ne,ne,ne,130-194,0,0,1,0,0,,,1.00
87,rld,2012,10,7,Cochabamba,norte,temporal,Casa,Dueño,,,,,,1,112000,,0,,cb,dueno,cas,NE,ne,nueva,ne,ne,82-130,0,0,1,0,0,,,1.00
88,rld,2012,10,7,Cochabamba,norte,cala cala,Casa,Dueño,1000,480,6,,,0,530000,,0,,cb,dueno,cas,5+,ne,ne,697-max,273+,194+,1,1,1,1,1,1104.166667,1104.166667,1.00
89,rld,2012,10,7,Cochabamba,sudeste,barrio exaltación cerca campo ferial,Casa,Dueño,,,,,,0,115000,,0,,cb,dueno,cas,NE,ne,ne,ne,ne,82-130,0,0,1,0,0,,,1.00
90,rld,2012,10,7,Cochabamba,sud,urb san joaquin,Casa en Urb.,Dueño,250,,,,,0,48000,,0,,cb,dueno,casurb,NE,ne,ne,144-300,ne,11-82,1,0,1,1,0,,,1.00
92,rld,2012,10,7,Cochabamba,norte,barrio el profesional,Casa,Dueño,,,,,,0,166000,,0,,cb,dueno,cas,NE,ne,ne,ne,ne,130-194,0,0,1,0,0,,,1.00
93,rld,2012,10,7,Cochabamba,linde,,Casa,Dueño,,,,,1,1,,,0,,cb,dueno,cas,NE,ne,nueva,ne,ne,ne,0,0,0,0,0,,,1.00
94,rld,2012,10,7,Cochabamba,cruce taquiña,av linde y sta cruz,Casa,Dueño,1000,,,,,0,,,0,,cb,dueno,cas,NE,ne,ne,697-max,ne,ne,1,0,0,0,0,,,1.00
95,rld,2012,10,7,Cochabamba,sudeste,villa pagador cerca mercado,Casa,Dueño,,,,,,0,,,0,,cb,dueno,cas,NE,ne,ne,ne,ne,ne,0,0,0,0,0,,,1.00
96,rld,2012,10,7,Cochabamba,norte,,Casa,Dueño,,,,,,1,150000,,0,,cb,dueno,cas,NE,ne,nueva,ne,ne,130-194,0,0,1,0,0,,,1.00
97,rld,2012,10,7,Cochabamba,parque demetrio canelas,,Casa,Dueño,,,,,,0,,,0,,cb,dueno,cas,NE,ne,ne,ne,ne,ne,0,0,0,0,0,,,1.00
98,rld,2012,10,7,Cochabamba,noroeste,av america oeste y plazuela topater,Casa,Dueño,,,,,,1,,,0,,cb,dueno,cas,NE,ne,nueva,ne,ne,ne,0,0,0,0,0,,,1.00
99,rld,2012,10,7,Cochabamba,noroeste,,Casa,Dueño,,,,,,0,97500,,0,,cb,dueno,cas,NE,ne,ne,ne,ne,82-130,0,0,1,0,0,,,1.00
101,rld,2012,10,7,Cochabamba,sarcobamba,,Casa,Dueño,,,4,4,1,1,155000,,0,,cb,dueno,cas,4,3+,nueva,ne,ne,130-194,0,0,1,0,0,,,1.00
102,rld,2012,10,7,Cochabamba,urb san andres,,Casa,Dueño,,,4,1,,0,,,0,,cb,dueno,cas,4,1-2,ne,ne,ne,ne,0,0,0,0,0,,,1.00
103,rld,2012,10,7,Sacaba,sacaba,abra- la capilla,Casa,Dueño,392,,,,,0,54000,,0,,sac,dueno,cas,NE,ne,ne,301-430,ne,11-82,1,0,1,1,0,,,1.00
104,rld,2012,10,7,Sacaba,sacaba,urb bella vista,Casa en Urb.,Dueño,,,,,,0,,,0,,sac,dueno,casurb,NE,ne,ne,ne,ne,ne,0,0,0,0,0,,,1.00
105,rld,2012,10,7,Cochabamba,sud,,Casa,Dueño,,,,,,0,,,0,,cb,dueno,cas,NE,ne,ne,ne,ne,ne,0,0,0,0,0,,,1.00
106,rld,2012,10,7,Cochabamba,sud,av 6 de agosto y panamericana,Casa,Dueño,,,,,,0,,,0,,cb,dueno,cas,NE,ne,ne,ne,ne,ne,0,0,0,0,0,,,1.00
107,rld,2012,10,7,Cochabamba,sudeste,av siglo XX,Casa,Dueño,,,,,,0,,,0,,cb,dueno,cas,NE,ne,ne,ne,ne,ne,0,0,0,0,0,,,1.00
108,rld,2012,10,7,Cochabamba,sud,av republica y pulacayo,Casa,Dueño,336,,,,,0,105000,,0,casa como lote,cb,dueno,cas,NE,ne,ne,301-430,ne,82-130,1,0,1,1,0,,,1.00
109,rld,2012,10,7,Cochabamba,chilimarca,,Casa,Dueño,496,,5,,,1,55000,,0,,cb,dueno,cas,5+,ne,nueva,431-696,ne,11-82,1,0,1,1,0,,,1.00
110,rld,2012,10,7,Sacaba,sacaba,hac sta maria cerca urb el castillo,Casa,Dueño,,,3,,1,0,,,0,,sac,dueno,cas,3,ne,ne,ne,ne,ne,0,0,0,0,0,,,1.00
111,rld,2012,10,7,Cochabamba,este,av america este psje benjamin guzman,Casa,Dueño,,,3,,,0,,,0,,cb,dueno,cas,3,ne,ne,ne,ne,ne,0,0,0,0,0,,,1.00
112,rld,2012,10,7,Cochabamba,norte,av america y melchor urquidi,Casa,Dueño,1730,,,,,0,,,0,,cb,dueno,cas,NE,ne,ne,697-max,ne,ne,1,0,0,0,0,,,1.00
113,rld,2012,10,7,Cochabamba,norte,av circunvalacion y melchor perez,Casa,Dueño,485,,,,,0,,,0,,cb,dueno,cas,NE,ne,ne,431-696,ne,ne,1,0,0,0,0,,,1.00
114,rld,2012,10,7,Tiquipaya,,cond blanco frente col tiquipaya,Casa,Constructora,,270,,,,1,,,0,,tiq,otro,cas,NE,ne,nueva,ne,169-272,ne,0,1,0,0,0,,,1.00
115,rld,2012,10,7,Sacaba,puntiti,av circunvalacion urb fud-umss,Casa,Dueño,340,,,,,0,100000,,0,,sac,dueno,cas,NE,ne,ne,301-430,ne,82-130,1,0,1,1,0,,,1.00
116,rld,2012,10,7,Cochabamba,norte,av simon lopez,Casa,Dueño,740,,,,,0,,,0,,cb,dueno,cas,NE,ne,ne,697-max,ne,ne,1,0,0,0,0,,,1.00
117,rld,2012,10,7,Cochabamba,sud,villa don bosco,Casa,Dueño,,,10,,,0,,,0,,cb,dueno,cas,5+,ne,ne,ne,ne,ne,0,0,0,0,0,,,1.00
118,rld,2012,10,7,Cochabamba,norte,temporal av hernando siles calle 9,Casa,Dueño,360,,,,,0,,,0,,cb,dueno,cas,NE,ne,ne,301-430,ne,ne,1,0,0,0,0,,,1.00
120,rld,2012,10,7,Cochabamba,cruce taquiña,,Casa,Dueño,,,5,5,1,0,,,0,,cb,dueno,cas,5+,3+,ne,ne,ne,ne,0,0,0,0,0,,,1.00
121,rld,2012,10,7,Cochabamba,queru queru,,Casa,Dueño,,,,,,0,,,0,,cb,dueno,cas,NE,ne,ne,ne,ne,ne,0,0,0,0,0,,,1.00
122,rld,2012,10,7,Sacaba,sacaba,quintanilla urb amancayas,Casa en Urb.,Dueño,258,,3,,1,0,,,0,,sac,dueno,casurb,3,ne,ne,144-300,ne,ne,1,0,0,0,0,,,1.00
123,rld,2012,10,7,Cochabamba,sudeste,cerro verde,Casa,Dueño,,,,,,0,,,0,,cb,dueno,cas,NE,ne,ne,ne,ne,ne,0,0,0,0,0,,,1.00
124,rld,2012,10,7,Cochabamba,sudeste,campo ferial,Casa,Dueño,,,,,,1,,,0,,cb,dueno,cas,NE,ne,nueva,ne,ne,ne,0,0,0,0,0,,,1.00
125,rld,2012,10,7,Cochabamba,chimba,av cañada,Casa,Dueño,450,,,,,0,,,0,,cb,dueno,cas,NE,ne,ne,431-696,ne,ne,1,0,0,0,0,,,1.00
126,rld,2012,10,7,Cochabamba,centro,a 1 cuadra plza colon,Casa,Dueño,1000,,,,,2,,,0,,cb,dueno,cas,NE,ne,no-nueva,697-max,ne,ne,1,0,0,0,0,,,1.00
128,rld,2012,10,7,Sacaba,sacaba,pacata baja,Casa,Dueño,300,,3,,1,0,,,0,,sac,dueno,cas,3,ne,ne,144-300,ne,ne,1,0,0,0,0,,,1.00
129,rld,2012,10,7,Cochabamba,norte,inm Super IC norte,Casa,Dueño,,,3,,1,0,,,0,,cb,dueno,cas,3,ne,ne,ne,ne,ne,0,0,0,0,0,,,1.00
130,rld,2012,10,7,Sacaba,puntiti,,Casa,Dueño,,,,,,1,,,0,,sac,dueno,cas,NE,ne,nueva,ne,ne,ne,0,0,0,0,0,,,1.00
132,rld,2012,10,7,Sacaba,sacaba,pacata baja cerca bateon,Casa,Dueño,250,,,,,0,76000,,0,,sac,dueno,cas,NE,ne,ne,144-300,ne,11-82,1,0,1,1,0,,,1.00
133,rld,2012,10,7,Cochabamba,,parque escuela nº 664,Casa,Dueño,,,,,,0,,,0,,cb,dueno,cas,NE,ne,ne,ne,ne,ne,0,0,0,0,0,,,1.00
134,rld,2012,10,7,Cochabamba,sud,av 6 de agosto,Casa,Dueño,,,,,,0,,,0,,cb,dueno,cas,NE,ne,ne,ne,ne,ne,0,0,0,0,0,,,1.00
135,rld,2012,10,7,Sacaba,sacaba,urb bella vista,Casa en Urb.,Dueño,,,,,,0,,,0,,sac,dueno,casurb,NE,ne,ne,ne,ne,ne,0,0,0,0,0,,,1.00
136,rld,2012,10,7,Colcapirhua,colcapirhua,km 6 av cap victor ustariz,Casa,Dueño,,,5,3,,0,,,0,,colc,dueno,cas,5+,3+,ne,ne,ne,ne,0,0,0,0,0,,,1.00
137,rld,2012,10,7,Cochabamba,sud,jaihuayco pza marcelo quiroga,Casa,Dueño,260,,,,,2,,,0,,cb,dueno,cas,NE,ne,no-nueva,144-300,ne,ne,1,0,0,0,0,,,1.00
138,rld,2012,10,7,Cochabamba,hipodromo,cerca IC norte,Casa,Dueño,266,,,,,0,155000,,0,,cb,dueno,cas,NE,ne,ne,144-300,ne,130-194,1,0,1,1,0,,,1.00
139,rld,2012,10,7,Sacaba,sacaba,pacata alta,Casa,Dueño,350,,,,,0,,,0,,sac,dueno,cas,NE,ne,ne,301-430,ne,ne,1,0,0,0,0,,,1.00
140,rld,2012,10,7,Sacaba,sacaba,puntiti,Casa,Dueño,556,,,,,0,,,0,,sac,dueno,cas,NE,ne,ne,431-696,ne,ne,1,0,0,0,0,,,1.00
141,rld,2012,10,7,Cochabamba,sudeste,campo ferial,Casa,Dueño,,,,,,0,,,0,,cb,dueno,cas,NE,ne,ne,ne,ne,ne,0,0,0,0,0,,,1.00
142,rld,2012,10,7,Quillacollo,quillacollo,km 8 sumumpaya,Casa,Dueño,600,,,,,0,80000,,0,,qllo,dueno,cas,NE,ne,ne,431-696,ne,11-82,1,0,1,1,0,,,1.00
143,rld,2012,10,7,Cochabamba,chimba,av cañada,Casa,Dueño,,,,,,0,152000,,0,,cb,dueno,cas,NE,ne,ne,ne,ne,130-194,0,0,1,0,0,,,1.00
144,rld,2012,10,7,Quillacollo,quillacollo,el paso,Casa,Dueño,,,,,,0,28000,,0,,qllo,dueno,cas,NE,ne,ne,ne,ne,11-82,0,0,1,0,0,,,1.00
145,rld,2012,10,7,Sacaba,sacaba,pacata baja,Casa,Dueño,500,150,4,,,0,,,0,,sac,dueno,cas,4,ne,ne,431-696,127-168,ne,1,1,0,0,0,,,1.00
146,rld,2012,10,7,Cochabamba,norte,urb adela jordan,Casa en Urb.,Dueño,,,4,3,,0,130000,,0,,cb,dueno,casurb,4,3+,ne,ne,ne,82-130,0,0,1,0,0,,,1.00
