id,digit,anio,mes,fecha,municipio,zona,calles,inmueble,oferta,sup lote,sup constr,dormitorios,banios,garaje,nueva,costo total,repetidos,especiales,observaciones,s_mun,s_ofer,s_inm,s_dorm,s_ban,s_neo,s_lot,s_const,S_PRECIO,SL,SC,PRECIO,PLOTE,PCONST,PCOMT,PLTMT,base
1255,rld,2012,10,7,Cochabamba,norte,dpto av america este,Departamento,Dueño,,170,,,1,1,,,0,baulera,cb,dueno,depto,NE,ne,nueva,ne,169-272,ne,0,1,0,0,0,,,2.00
1256,rld,2012,10,7,Cochabamba,norte,dpto recoleta,Departamento,Dueño,,145,3,,1,0,,,0,,cb,dueno,depto,3,ne,ne,ne,127-168,ne,0,1,0,0,0,,,2.00
1257,rld,2012,10,7,Cochabamba,norte,dpto av santa cruz,Departamento,Dueño,,92,2,,1,0,,,0,,cb,dueno,depto,1-2,ne,ne,ne,52-126,ne,0,1,0,0,0,,,2.00
1258,rld,2012,10,7,Cochabamba,norte,dpto muyurina,Departamento,Dueño,,,2,,1,1,,,0,,cb,dueno,depto,1-2,ne,nueva,ne,ne,ne,0,0,0,0,0,,,2.00
1259,rld,2012,10,7,Cochabamba,norte,dpto juan de la rosa,Departamento,Dueño,,107,3,,,1,68000,,0,,cb,dueno,depto,3,ne,nueva,ne,52-126,11-82,0,1,1,0,1,635.5140187,,2.00
1260,rld,2012,10,7,Cochabamba,norte,dpto hipodromo,Departamento,Dueño,,,2,,,0,51000,,0,,cb,dueno,depto,1-2,ne,ne,ne,ne,11-82,0,0,1,0,0,,,2.00
1262,rld,2012,10,7,Colcapirhua,,dpto lado hospital seton,Departamento,Dueño,,,,,,0,22000,,0,,colc,dueno,depto,NE,ne,ne,ne,ne,11-82,0,0,1,0,0,,,2.00
1263,rld,2012,10,7,Cochabamba,norte,dpto,Departamento,Dueño,,,3,,,0,,,0,,cb,dueno,depto,3,ne,ne,ne,ne,ne,0,0,0,0,0,,,2.00
1264,rld,2012,10,7,Cochabamba,centro,dpto,Departamento,Dueño,,200,,,,0,100000,,0,,cb,dueno,depto,NE,ne,ne,ne,169-272,82-130,0,1,1,0,1,500,,2.00
1266,rld,2012,10,7,Cochabamba,este,ed los cerezos av aniceto arce,Departamento,Dueño,,110,3,,1,0,,,0,,cb,dueno,depto,3,ne,ne,ne,52-126,ne,0,1,0,0,0,,,2.00
1267,rld,2012,10,7,Sacaba,sacaba,dpto cerca el castillo,Departamento,Dueño,,,2,,,0,45000,,0,,sac,dueno,depto,1-2,ne,ne,ne,ne,11-82,0,0,1,0,0,,,2.00
1268,rld,2012,10,7,Cochabamba,norte,dpto plazuela franz tamayo,Departamento,Dueño,,,3,,1,0,,,0,baulera,cb,dueno,depto,3,ne,ne,ne,ne,ne,0,0,0,0,0,,,2.00
1269,rld,2012,10,7,Cochabamba,norte,dpto norte,Departamento,Dueño,,150,,,,0,73000,,0,,cb,dueno,depto,NE,ne,ne,ne,127-168,11-82,0,1,1,0,1,486.6666667,,2.00
1270,rld,2012,10,7,Cochabamba,norte,dpto av ayuni,Departamento,Dueño,,,,,,1,79000,,0,,cb,dueno,depto,NE,ne,nueva,ne,ne,11-82,0,0,1,0,0,,,2.00
1271,rld,2012,10,7,Cochabamba,centro,dpto inm pte cobija,Departamento,Dueño,,,3,,1,0,76000,,0,,cb,dueno,depto,3,ne,ne,ne,ne,11-82,0,0,1,0,0,,,2.00
1272,rld,2012,10,7,Cochabamba,centro,dpto av ayacucho,Departamento,Dueño,,,,,,0,122000,,0,,cb,dueno,depto,NE,ne,ne,ne,ne,82-130,0,0,1,0,0,,,2.00
1273,rld,2012,10,7,Cochabamba,norte,dpto  juandanielIII c. tarija,Departamento,Dueño,,,,,,0,,,0,,cb,dueno,depto,NE,ne,ne,ne,ne,ne,0,0,0,0,0,,,2.00
1274,rld,2012,10,7,Cochabamba,norte,dpto av beiging y america,Departamento,Dueño,,,3,,,1,66000,,0,,cb,dueno,depto,3,ne,nueva,ne,ne,11-82,0,0,1,0,0,,,2.00
